Species Code	Accession Number	PCO1	PCO2	PCO3	PCO4	PCO5
ADG	140ADG	0.3083137	-0.04796896	-0.01702662	-0.00274688	0.02505247
ADG	1433ADG_1	0.31653445	-0.01388241	-0.00002778	0.00302921	0.0701555
ADG	1433ADG_2	0.3809429	0.00530977	-0.05977541	0.01937968	-0.02777512
ADG	1461ADG_1	0.32803502	-0.0057579	-0.09459147	0.00088326	0.01000127
ADG	1463aADG*	0.40802628	0.00029207	-0.05216585	0.01507408	0.02105272
ADG	1464ADG	0.3054282	-0.04813546	0.02131314	-0.0270505	0.03052624
ADG	1467ADG_1	0.32968113	0.03974497	-0.11141713	0.05090322	-0.04794627
ADG	1467ADG_2	0.30584259	-0.00235365	-0.11723102	0.02281681	0.00492645
ADG	1470aADG	0.34619135	-0.01342324	-0.06548656	0.00460288	-0.02627607
ADG	1470bADG	0.2987087	0.02755599	-0.03603214	-0.01167938	-0.0306125
ADG	1475ADG	0.24025779	0.00388017	-0.03632165	-0.01957678	-0.03211101
ADG	1483aADG	0.34442712	-0.01939975	0.01413357	0.01504664	0.00165633
ADG	1491aADG	0.32990327	0.04848	0.00133856	0.03397598	0.0509378
ADG	1497cADG*	0.35084519	0.01129148	-0.01231357	-0.02467138	0.03483091
ADG	1497dADG	0.34050703	-0.0394676	-0.02366096	0.03648812	0.05041539
ADG	1500ADG	0.29614154	0.03511905	-0.04685232	0.01437247	-0.06522288
ADG	156ADG	0.27953104	0.01672378	0.00730152	-0.01985121	0.06327442
BRD	1576BRD	-0.09532703	-0.03018079	0.28811129	0.15508774	0.15341948
ADG	1593ADG	0.35134328	0.02960313	0.0155755	0.03128613	0.05700829
ADG	1601ADG	0.30020313	0.04756716	-0.07983058	0.05896464	-0.04267763
ADG	1605x1948ADG	0.28554899	-0.02282661	-0.03054761	-0.01522144	0.01558281
ADG	161401ADG*	0.24474157	-0.03971477	-0.07524339	-0.04085323	-0.00447388
PLD	161728PLD	-0.11154796	0.00697445	0.34978317	0.16227912	0.03230606
GRR	161730GRR	-0.15314435	0.03942555	-0.10324279	0.10556146	0.12358636
ADG	1638ADG	0.34051129	0.04877473	-0.04248237	0.00913563	0.02159828
ADG	164ADG	0.27354085	-0.03862118	-0.00159672	0.05402756	0.04537523
ADG	1663ADG_1	0.38532534	-0.00600635	-0.02550512	0.03485343	0.01301193
ADG	1663ADG_2	-0.28635841	-0.00343107	-0.02457755	0.26577833	0.03003684
ADG	166ADG	0.21274554	-0.02248298	-0.03321647	-0.03571243	0.0581836
ADG	1688ADG_1	0.3711482	0.00242647	-0.03744785	-0.03304003	0.0293049
ADG	1688ADG_2	0.35450352	0.03748906	-0.0645966	-0.00282146	-0.02995542
ADG	1699ADG	0.30708374	-0.00055343	0.01849715	0.00578702	0.03633632
TAR	1727TAR	-0.21969021	-0.18751327	-0.01208846	-0.08766829	-0.07860059
ADG	1745ADG	0.14816609	-0.02870185	-0.05496734	0.02610048	0.01410437
CHC	1761CHC	-0.19047112	-0.2223785	0.06278038	-0.08639883	-0.01559291
TOR	1773TOR	-0.15787794	-0.03150825	0.13204552	-0.10457391	-0.05944288
ADG	1788ADG	0.32897752	-0.01429056	-0.09208403	0.00062589	0.00624167
ADG	1801ADG*	0.27902336	0.0392034	-0.07246521	0.02795352	-0.07032105
ADG	1807ADG	0.33909781	-0.00201224	-0.08670795	-0.00577704	-0.04087499
ADG	1808ADG	0.33049345	-0.02550538	-0.06363954	-0.01650007	-0.04614956
ADG	1815ADG	0.30972099	0.02399302	-0.03405206	0.02288551	-0.02909632
ADG	1831ADG	0.36623713	-0.00263493	-0.02763339	-0.04184465	0.02712826
ADG	1833ADG*	0.34083902	0.03970486	-0.07186925	0.00010441	-0.02298951
ADG	1843ADG	0.32404364	-0.04356541	-0.02845207	0.00710159	0.07410423
ADG	1849ADG	0.33794752	-0.00859695	-0.02275602	-0.02372605	0.0113214
ADG	1862ADG	0.29535704	-0.02338513	-0.06680963	-0.02245658	-0.03551911
ADG	1864ADG	0.29560142	0.00040444	-0.06068021	0.00431236	0.00292568
ADG	1867ADG	0.33935287	0.00694697	-0.02578014	0.04031424	0.03771185
ADG	1869ADG	0.31909374	0.06375299	-0.08878309	-0.0033728	-0.02627405
ADG	1875ADG	0.27288079	-0.00690135	-0.08010702	0.03132393	-0.0283023
ADG	1893ADG_1*	0.34171489	0.02908047	-0.03841084	-0.04041133	0.03000153
ADG	1893ADG_2	0.32294245	0.01466193	-0.06667796	-0.01083904	0.00321594
ADG	1894ADG	0.35081	-0.02001283	-0.0131948	-0.01751215	0.02842269
ADG	189ADG_1	0.22286033	-0.02321805	-0.07333089	-0.04960736	-0.00198244
ADG	189ADG_2	0.24041192	-0.02432655	-0.05586378	-0.00430089	-0.02348468
ADG	1904ADG	0.31655418	0.00951235	-0.08590838	-0.01092285	-0.03292269
ADG	191ADG	0.3363151	0.0062653	-0.04377437	0.07224093	0.01588282
ADG	1922ADG	0.36965729	0.07798367	-0.03191308	0.04447252	-0.01086659
ADG	1923ADG	0.31871525	0.01108198	-0.02748523	-0.04914198	-0.01059659
ADG	1924ADG	0.20809838	-0.01879127	-0.06877599	0.03452976	-0.01190215
ADG	1930ADG	0.26071183	0.03658507	-0.0765441	0.03259402	-0.08567249
ADG	1945ADG	0.24029566	0.01399813	-0.03245237	0.01647059	-0.01707259
ADG	1948ADG	0.29496811	-0.03505569	-0.00666015	-0.02104509	0.05294252
ADG	194ADG	0.32525395	-0.00567388	-0.07441935	-0.01806106	-0.03983834
STN	195188STN*	0.36541915	0.00234407	0.03968289	0.01636927	0.06353314
STN	195204STN*	0.09809664	-0.0809157	-0.0496824	-0.03314912	-0.07274182
STN	195214STN*	0.35362103	0.01566019	0.06045965	-0.000364	0.04206641
ADG	1954ADG_1	0.35178589	0.04845492	-0.10784394	0.02096618	-0.03554165
ADG	1960x1948ADG	0.35747539	0.00221187	0.00979292	-0.02692268	0.01696325
ADG	1961ADG	0.40118492	0.00779328	-0.00216009	-0.00480991	-0.00666216
ADG	1966ADG	0.34915119	-0.01760551	-0.02364857	-0.02926839	0.01268063
ADG	1988ADG	0.37773759	-0.01786171	-0.05069167	0.03491748	0.01621532
ADG	1990ADG	0.25802967	0.0516425	-0.04631703	-0.0028318	-0.06581314
ADG	1993ADG	0.30745106	-0.04680561	-0.06927567	0.01694058	-0.0491528
DMS	1DMS	0.36584966	0.04265735	-0.07888269	0.00821985	-0.02259811
ADG	2017ADG	0.33882921	0.02456896	-0.00587035	-0.00331385	-0.01291025
ADG	2020ADG_1	0.33320769	0.01876647	-0.0952131	0.01145989	-0.01378626
ADG	2029ADG	0.2640727	-0.07117166	-0.01319296	-0.01334635	-0.01588682
ADG	202ADG	0.34352978	-0.00751847	-0.06630247	0.04604815	0.0275604
ADG	2031ADG	0.32992266	0.02871869	-0.09998039	0.04450317	-0.05850914
ADG	2032ADG	0.22296113	0.02364222	-0.11201506	0.01459744	-0.03242108
ADG	2033ADG	0.26940314	-0.03211651	0.0390719	0.05342121	0.08367294
ADG	2037ADG_1	0.28355603	0.02910335	-0.05315866	-0.0148484	0.01502685
ADG	2037ADG_2	0.2846948	0.00075795	-0.05367716	0.02127868	-0.04485945
HOU	2045HOU	-0.25876923	0.05296734	-0.06297971	0.15941794	0.04957803
STN	205526STN*	0.35656272	-0.01397807	0.05069885	-0.00969678	0.03534354
STN	205527STN*	0.36351072	0.01185979	0.05760118	0.01250754	0.03134326
CAP	205560CAP	-0.09502508	-0.07058934	0.28678847	0.07592126	0.04867296
ADG	2055ADG	0.33515688	-0.05351917	0.0033981	-0.00535654	0.03208194
ADG	2068ADG_1*	0.36783868	0.0486415	-0.00648599	0.01807839	0.02922441
ADG	2068ADG_2	0.37529193	-0.01214197	-0.00539534	0.038805	-0.04721825
ADG	207ADG	0.14343032	0.00259011	-0.10536205	-0.01235962	-0.03260098
BER	208881BER	-0.17250768	-0.16026638	0.03991204	-0.09872714	-0.02284634
STO	2092STO	-0.30206479	0.05224894	-0.0968217	0.27998191	-0.06527694
STO	2094STO	-0.27875966	0.1065803	-0.15098204	0.31883722	-0.0896601
DMS	2095DMS	-0.18882155	0.27333555	-0.10652648	-0.04925393	0.04076282
DMS	2097DMS	-0.29655947	0.34975674	-0.09574184	-0.09442937	0.07174071
DMS	2098DMS	-0.24793424	0.33268988	-0.04666283	-0.09418689	0.10997777
DMS	20DMS	-0.26673406	0.29397028	-0.05701862	-0.09665118	0.07269204
PNE	210031PNE	-0.11961836	0.21271087	0.12730346	-0.19486817	-0.01915419
MGA	210034MGA*	-0.17274221	0.05094883	0.10175131	-0.11382581	-0.08247464
CAN	210035CAN*	0.22161454	-0.06139185	0.09727226	-0.01942485	0.03027197
GRL	210038GRL*	-0.23211548	-0.17577607	-0.08174253	-0.10519423	-0.07751308
MRN	210040MRN*	0.27823483	-0.02550474	0.06415738	-0.00315635	0.04456564
MLT	210043MLT*	0.18847421	0.02223914	0.0959249	-0.00552607	0.05330402
MLT	210044MLT*	0.20039374	-0.01439321	0.10307188	0.00547489	0.04394344
MED	210045MED	-0.08113404	-0.01290931	0.06572541	-0.06520963	-0.0648689
MLT	210052MLT*	0.2280209	-0.02384555	0.13213001	-0.04485304	0.05381479
MLT	210055MLT*	0.09411742	-0.04592731	0.07487688	0.00094344	0.01811349
DMS	2102DMS	-0.26914974	0.28883294	-0.07890477	-0.12418136	0.07368577
DMS	2103DMS	-0.13474057	0.22908107	-0.04471252	-0.06820773	0.03150038
ACL	2107ACL	-0.20772092	0.29953622	0.1234793	-0.20700925	-0.09784344
ACL	2109ACL	-0.18985803	0.33967694	0.13328522	-0.22522688	-0.08691624
ACL	2113ACL	-0.21471604	0.31295459	0.13431857	-0.21983173	-0.09585397
DMS	2127DMS	-0.30710094	0.2478053	-0.11377952	-0.02388515	0.02589892
ADG	2154ADG	0.22938093	0.00293745	-0.0947571	-0.06356788	-0.04060883
DMS	2167DMS	-0.23752265	0.26430929	-0.08147658	-0.0695907	0.05241047
DMS	2168DMS	-0.26488498	0.31525553	-0.09959537	-0.10817988	0.05728228
ADG	2188ADG_1	0.25200739	-0.01074578	-0.10495333	0.0237236	-0.04324496
ADG	2188ADG_2	0.26785581	-0.04321126	-0.06394948	-0.01755614	-0.04137951
STO	2220STO	-0.25058678	0.03511031	-0.0685118	0.23132355	-0.12769517
STO	2243STO	-0.31516413	0.08761242	-0.16799391	0.32331534	-0.1022428
DMS	2245DMS	-0.29174527	0.27644453	-0.1157266	-0.02843998	0.02798257
VER	2246VER	-0.28667406	-0.05757395	-0.18825215	0.11575116	0.11554696
VER	2247VER	-0.34484682	-0.08979907	-0.18578918	0.12318134	0.19222459
DMS	2249DMS	-0.25427703	0.32446689	-0.07966499	-0.08213252	0.03801796
DMS	2253DMS	-0.26315206	0.29837226	-0.05804783	-0.11017	0.0735776
DMS	2254DMS	-0.23962252	0.2793114	-0.04617252	-0.0934459	0.05443478
STO	2255STO_1	-0.29925342	0.09236093	-0.1648015	0.32788161	-0.09691906
STO	2255STO_2	-0.28934122	0.08843406	-0.16758177	0.28408987	-0.08092095
ADG	225628ADG*	0.34091087	0.00480348	-0.0480438	0.00230591	0.0021216
ADG	225649ADG*	0.30028783	-0.07117221	-0.05723348	-0.05338593	-0.01103917
STO	2261STO	-0.33737092	0.0680035	-0.16839108	0.33581677	-0.02635127
DMS	2265DMS	-0.30447302	0.32198494	-0.06126596	-0.10464735	0.10078937
ADG	2284ADG	0.18076609	0.00793094	-0.13298497	-0.07145418	-0.076513
BCP	2292BCP	-0.15649005	0.00001979	-0.1152959	0.07910121	0.19271178
BCP	230459BCP	-0.14757311	0.00971326	-0.06549191	0.03091168	0.18662643
ACS	230495ACS*	0.31475608	0.01879391	0.0226067	0.0163803	0.01583065
SPL	230502SPL*	-0.21010306	-0.22366519	-0.06876758	-0.08531817	-0.06753647
MED	230507MED	-0.02581599	-0.04265918	0.13406898	-0.02453972	-0.02949714
STN	230512STN*	0.35794658	-0.00231939	-0.00074081	0.00261037	0.02769225
STN	230513STN*	0.35675714	-0.02694161	0.02812395	0.02016983	0.04378282
DMS	2326DMS	-0.28696546	0.29702025	-0.09349586	-0.0460145	0.03095169
DMS	2336DMS	-0.28618626	0.3292744	-0.11586729	-0.06064621	0.06372716
STO	2337STO	-0.28453959	0.1006338	-0.1224361	0.30195679	-0.12150119
XXX	234009XXX*	0.39961143	-0.00533131	0.00978512	0.02120993	0.04775321
STN	234011STN*	0.30260912	0.00935038	0.05551055	0.01022769	0.04940285
STN	234012STN*	0.33828856	-0.02997197	0.04519082	-0.01700604	0.08520219
STN	234012STN_1	0.29746261	0.04018305	0.04383857	-0.01049255	0.08539882
STN	234012STN_10	0.3043759	0.03479017	0.06199863	-0.00170214	0.09049736
STN	234012STN_11	0.32925013	0.00106283	0.05630854	-0.02253794	0.11444125
STN	234012STN_12	0.33307925	0.02209582	0.04820884	-0.00343192	0.09144533
STN	234012STN_13	0.32545641	0.03033473	0.0397065	0.00141079	0.09746933
STN	234012STN_14	0.3038425	-0.00497617	0.0624252	-0.01821966	0.07541094
STN	234012STN_15	0.28388721	0.00350745	0.07802736	-0.02592529	0.09611454
STN	234012STN_17	0.31078588	0.01349954	0.03778999	0.0005987	0.07950703
STN	234012STN_18	0.29077497	0.02194129	0.05782981	-0.00480595	0.08348866
STN	234012STN_19	0.32436354	0.02168691	0.04472078	-0.01839689	0.08835988
STN	234012STN_2	0.27278018	0.00280793	0.06963323	-0.00056096	0.10624787
STN	234012STN_20	0.27470695	-0.0068611	0.07654333	-0.03430262	0.10758688
STN	234012STN_21	0.28816393	0.01978657	0.08090756	0.00286556	0.13237988
STN	234012STN_22	0.28218515	-0.02343689	0.0734741	-0.02574904	0.10311311
STN	234012STN_23	0.29287855	0.02291012	0.06586503	-0.02113892	0.10291134
STN	234012STN_24	0.3036368	0.00121491	0.05337102	-0.00361598	0.10030064
STN	234012STN_3	0.30458594	0.01411891	0.05377743	-0.02132248	0.1128618
STN	234012STN_4	0.31588593	0.02823881	0.03508247	-0.02158157	0.10547052
STN	234012STN_5	0.31127299	0.01388698	0.07148252	-0.00701538	0.1082589
STN	234012STN_6	0.31878012	-0.00599556	0.09595914	0.01363299	0.11403259
STN	234012STN_7	0.31112203	0.0275821	0.04426102	-0.03345534	0.08184967
STN	234012STN_8	0.31635053	0.03362159	0.03765399	0.00068412	0.07523817
STN	234012STN_9	0.27403053	-0.00694243	0.07322916	0.01645189	0.06784215
STN	234015STN*	0.30503514	-0.00196661	0.06146973	0.02010354	0.03469509
CHM	243340CHM	-0.11926681	-0.00773508	0.24554184	0.05817162	0.09982063
CLR	243355CLR	-0.10670067	-0.01389163	0.34418049	0.20496648	-0.00583849
ALN	243501ALN	-0.06033658	-0.11486921	-0.07095299	-0.15282553	-0.05535422
ADG	2437ADG	0.35866592	-0.00208941	-0.03654902	0.01428714	-0.02760937
BUK	2438BUK	0.13469135	-0.02224015	0.04704744	0.05987575	-0.02017713
ACP	2440ACLPNE	-0.18343527	0.24005371	0.16899992	-0.22453532	-0.01713038
BRD	2451BRD	-0.13377404	-0.03333515	0.25845004	0.13699517	0.14585064
ACL	2456ACL	-0.12934766	0.3228774	0.10359539	-0.23694781	-0.05641467
TBR	245796TBR*	0.19875003	-0.05420357	-0.04023677	-0.03338037	-0.01276994
TBR	245815TBR*	0.17587679	-0.05491648	-0.05787901	-0.05080695	-0.05212034
TBR	245835TBR*	0.22630138	-0.04170208	-0.02243673	-0.06476363	0.01797221
TBR	245929TBR_1	0.14028378	0.01794415	-0.04117304	-0.07525063	-0.05396137
TBR	245929TBR_10	0.25195759	0.07517261	-0.06768251	-0.06251863	-0.02948538
TBR	245929TBR_11	0.20353598	0.03592883	-0.0790844	-0.05174948	-0.05774513
TBR	245929TBR_12	0.26450532	0.03153054	-0.08577143	-0.06199717	-0.00160271
TBR	245929TBR_13	0.19914288	0.05209257	-0.0685523	-0.09741407	0.0004695
TBR	245929TBR_14	0.20275419	0.05895262	-0.06971405	-0.08359434	-0.00968881
TBR	245929TBR_15	0.22070363	0.02294608	-0.08787512	-0.05944365	-0.01054338
TBR	245929TBR_16	0.19186821	0.06493528	-0.07223016	-0.04857787	-0.00718011
TBR	245929TBR_17	0.21974078	0.06148307	-0.06715522	-0.06069399	-0.00678409
TBR	245929TBR_18	0.20538691	0.03720168	-0.08326325	-0.09303006	-0.03073341
TBR	245929TBR_19	0.22202221	0.06400817	-0.10482264	-0.07977022	-0.03808848
TBR	245929TBR_2	0.20097606	0.03964532	-0.04948099	-0.08863504	0.01489487
TBR	245929TBR_20	0.22357653	0.02402395	-0.07141335	0.00885044	-0.00227892
TBR	245929TBR_21	0.22974161	0.01744063	-0.0601618	-0.07374489	0.04934166
TBR	245929TBR_22	0.18667515	0.05792347	-0.0819669	-0.07086157	-0.02055336
TBR	245929TBR_23	0.25104181	0.05178794	-0.06826329	-0.03600459	-0.0342186
TBR	245929TBR_24	0.19844356	0.03158617	-0.1090642	-0.07230442	-0.033202
TBR	245929TBR_3	0.20183937	0.03550677	-0.08647465	-0.10846245	-0.00630784
TBR	245929TBR_4	0.23470923	0.06021399	-0.08220292	-0.05512383	-0.04769991
TBR	245929TBR_5	0.21493954	0.05445595	-0.1131375	-0.01883065	-0.03088094
TBR	245929TBR_6	0.22161048	0.06262466	-0.08803585	-0.04325542	-0.01742592
TBR	245929TBR_7	0.19574223	0.04863792	-0.07824203	-0.01969155	-0.07919993
TBR	245929TBR_8	0.24690914	0.05491469	-0.06684165	-0.05724305	-0.05159759
CAN	246533CAN*	0.26380208	-0.05621434	0.04489797	0.00571709	0.03833851
SPL	246536SPL*	-0.19938604	-0.21178408	-0.07469876	-0.09698664	-0.02158184
DMS	2472DMS	-0.24426097	0.28653875	-0.08142252	-0.0908983	0.06174558
ADR	247360ADR	-0.15056931	0.063345	-0.05843153	0.08602099	0.16994633
IFD	2477IFD	-0.20390336	-0.11796964	-0.17353194	-0.02734198	-0.1014109
IFD	2479IFD	-0.26802919	-0.2450842	-0.07292905	-0.12726194	-0.10254375
GRL	2480GRL	-0.2303821	-0.21753359	-0.02106464	-0.13008953	-0.0634987
MGA	2482MGA	-0.13013636	0.01616908	0.12740484	-0.13948749	-0.01171174
SCT	2483SCT	-0.13697479	0.0483624	0.1041404	-0.09022309	-0.01775289
STO	251062STO*	-0.27142185	0.05646298	-0.11522084	0.26552123	-0.17339568
VER	2514VER	-0.26407749	-0.10017186	-0.14081176	0.03435544	0.19271823
VER	2515VER	-0.2717421	-0.09558839	-0.14819373	0.03488786	0.18798702
BCP	251721BCP	-0.17400282	0.01852433	-0.04184768	0.0905388	0.16981118
ACL	2522ACL	-0.16086595	0.32561136	0.08159227	-0.1982247	-0.15462023
ACL	2523ACL	-0.19511742	0.33264393	0.08417632	-0.21841711	-0.16173619
ACL	2525ACL	-0.16197448	0.31057377	0.10839421	-0.20342053	-0.130215
ACL	2527ACL	-0.16078741	0.34900641	0.08976426	-0.20000353	-0.1550161
ACL	2529ACL	-0.18348481	0.33541135	0.08168804	-0.20500858	-0.11171275
ACL	2532ACL	-0.19751818	0.31683079	0.0885476	-0.19692234	-0.12731149
SPL	2533SPL	-0.22811903	-0.17785874	-0.08489391	-0.05845753	-0.01265151
MCD	2551MCD	-0.14863661	-0.22733495	0.11218292	-0.07493109	-0.01307011
DPH	255516DPH	-0.1119643	-0.015577	0.34952316	0.13075229	-0.03778114
ADG	256ADG	0.29138233	-0.03241397	-0.04601736	0.00393622	0.02955678
ADG	258879ADG*	0.3087491	-0.0129434	-0.035987	-0.0300835	-0.00079491
ADG	258900ADG*	0.23828648	-0.0329577	-0.05407081	-0.06551046	-0.01645368
ADG	258917ADG*	0.37429567	0.01136824	-0.03175231	0.02894579	0.03512464
ADG	258ADG_1	0.27659249	0.06796699	-0.03509804	-0.03912148	-0.06233811
ADG	258ADG_2	0.21642337	-0.01444644	-0.05597135	0.02581676	-0.0020556
FEN	2601FEN	-0.21932904	0.08273523	-0.10015625	0.27167567	-0.10481456
FEN	2603FEN	-0.26835308	0.09813714	-0.15704449	0.36199542	-0.23932628
FEN	2604FEN	-0.28614232	0.12379158	-0.14952167	0.34427958	-0.24012693
FEN	2605FEN	-0.29917466	0.16261276	-0.15089417	0.3594064	-0.2111417
FRZ	2608FENARZ*	-0.21020813	0.12775339	-0.18027519	0.303324	-0.14708218
FEN	2610FEN	-0.28749638	0.06814567	-0.13225378	0.32575321	-0.17505136
FEN	2615FEN	-0.29989371	0.11060536	-0.1626874	0.37116921	-0.20555817
STO	2618STO	-0.25798668	0.04880468	-0.10997982	0.27278598	-0.16648903
STO	2619STO	-0.28774779	0.13385144	-0.14352232	0.37017877	-0.22092417
VER	2623aVER	-0.26519211	-0.05153268	-0.18976829	0.10972781	0.07125373
HJT	2624HJT	-0.30611158	0.12243644	-0.15952918	0.31615273	-0.14464493
PTA	2639PTA	-0.27393183	0.12635191	-0.12562596	0.32212121	-0.18749034
PTA	2640PTA*	-0.23313087	0.14493712	-0.16755205	0.32951977	-0.16100249
VER	2644VER	-0.28321172	-0.0670287	-0.18376209	0.11965586	0.13246843
CAN	265863CAN*	0.08182072	-0.0848891	0.01734354	-0.04376547	0.00854591
CAN	265864CAN*	0.31421605	-0.06989339	0.04639245	-0.00632946	0.03822099
CAN	265865CAN*	-0.05847148	-0.15366688	-0.08879379	-0.10173426	-0.01197974
MED	265872MED*	-0.05836225	-0.0510815	0.15179287	-0.02973481	0.03580544
SCR	265882SCR*	-0.1326737	-0.15259746	-0.13908472	-0.07002231	-0.07365932
BUK	266385BUK*	0.17544593	-0.00932504	0.1367082	-0.05058436	0.06564334
PNE	266386PNE	-0.16960067	0.30630758	0.12959785	-0.22854212	-0.03240938
SPL	2666SPL	-0.25564813	-0.21513337	-0.11252679	-0.10363217	-0.06155783
AGF	2683AGF	-0.03585743	-0.06280914	0.1504513	0.06395408	0.10607051
AGF	2684AGF	-0.27536505	0.02255991	-0.05217585	0.24895827	-0.04987416
KTZ	2689KTZ	-0.12233832	-0.06637718	0.11592881	-0.07040436	-0.03900656
GON	2703STNGON	0.30759521	-0.03288456	0.02949726	0.00630448	0.02767252
DMS	2707DMS	-0.27705315	0.28390619	-0.07003064	-0.12486598	0.03848742
STO	2709STO	-0.2452248	0.09983827	-0.11693921	0.38060724	-0.21601446
STO	2710STO	-0.32435215	0.07713019	-0.12885569	0.2704172	-0.05638665
STO	2711STO	-0.2448555	0.14302423	-0.12257819	0.33122432	-0.10641259
STO	2712STO	-0.297088	0.07309962	-0.1458905	0.31139093	-0.10391422
MLA	2713STOMLA	-0.28968716	0.11225781	-0.10327847	0.19603099	-0.09433865
STO	2714STO	-0.31674859	0.07309801	-0.11398181	0.29867793	-0.14093006
STO	2715STO	-0.28931921	0.08953597	-0.13539468	0.34620189	-0.1102074
MLA	2716STOMLA	-0.28863771	0.02960671	-0.14393783	0.25300688	0.01906193
HOU	2718HOU	-0.25281273	0.0765986	-0.05358921	0.17465903	0.02532593
BUK	2722BUK	0.15596118	-0.07082783	0.11272508	-0.0350787	0.07172472
BUK	2723BUK	0.16735829	-0.09398938	0.11015494	0.0084044	0.03135961
BUK	2723BUK_1	0.18183364	-0.00685901	0.09149497	0.0043663	0.00466878
BUK	2723BUK_10	0.14798677	-0.02941845	0.09801419	0.0085883	-0.00928745
BUK	2723BUK_11	0.14139818	-0.02273159	0.09625559	0.00466626	-0.04007849
BUK	2723BUK_12	0.18159078	-0.00950418	0.06809405	-0.00790199	-0.00893443
BUK	2723BUK_13	0.17722814	-0.02397563	0.10546637	0.01617307	0.01058007
BUK	2723BUK_14	0.16723766	-0.0341903	0.10627796	0.00312487	-0.00455819
BUK	2723BUK_16	0.16835566	-0.0178616	0.08822778	-0.00102725	0.02247139
BUK	2723BUK_17	0.1926242	-0.05973146	0.11431565	-0.02221981	0.03328623
BUK	2723BUK_18	0.17593978	-0.0263287	0.09166128	-0.00311307	-0.00732382
BUK	2723BUK_19	0.17988501	-0.04695222	0.08301986	-0.02351343	0.00119061
BUK	2723BUK_2	0.16071545	-0.06435663	0.09843266	-0.00435618	-0.020973
BUK	2723BUK_20	0.19102687	-0.04690874	0.09904339	-0.02747024	0.0152609
BUK	2723BUK_3	0.16096011	-0.04081074	0.11229974	-0.00223303	-0.00301212
BUK	2723BUK_4	0.1737863	-0.02029479	0.11676419	0.01715159	-0.00405009
BUK	2723BUK_5	0.16470184	-0.0305669	0.1011	0.01811161	0.00474818
BUK	2723BUK_6	0.18903098	-0.05409454	0.08044429	-0.01708849	-0.01077955
BUK	2723BUK_7	0.16235914	-0.04096429	0.08737371	0.00109628	0.00109445
BUK	2723BUK_8	0.15975885	-0.02224182	0.11021032	0.01287914	0.00489683
GIG	2727MCDGIG	-0.12209531	-0.15195432	0.08569626	-0.09497587	0.01737776
SPL	2730SPL	0.22821462	-0.02332954	-0.05325665	-0.02986329	-0.02555353
VRN	2733VRN_1	0.18626696	-0.04669947	0.13324191	0.02219537	0.03703106
VRN	2733VRN_2	-0.18262666	-0.11124178	0.00805425	-0.12953458	-0.10563572
ADG	2735ADG	0.33778865	-0.00063367	-0.06203732	0.03081192	-0.00155334
ADG	2741ADG	0.30268967	0.01359648	-0.06170909	0.02277919	-0.03112456
ADG	2742ADG	0.27448723	0.01411746	-0.07848273	0.01609	-0.03129277
ADG	2743ADG	0.31120902	0.02043365	-0.12597463	0.01636606	-0.06416517
ADG	2744ADG_1	0.38276635	-0.00994772	-0.03462737	0.02414933	0.02534766
ADG	2744ADG_2	-0.19021822	-0.11982563	0.04879033	-0.09716333	-0.04263442
ADG	2744ADG_3	0.40346062	-0.01401103	-0.06262255	0.02340721	-0.02523819
