category	label	data1	data2	data3
dickie	336	4607	4440	4126
dickie	337	4012	4803	4676
dickie	338	4863	4507	4259
dickie	339	4678	4131	4468
dickie	340	4549	4150	4451
dickie	341	4203	4202	4575
dickie	342	4597	4268	4279
dickie	343	4065	4409	4515
frankie	343	47942	42699	40773
frankie	344	49416	40430	46901
frankie	345	45020	43554	41024
frankie	346	49392	45672	45770
frankie	347	40963	45106	44007
