Category	Label	pco1	pco2	pco3
blech	obj56	1.5	-0.8	0.81
blech	obj57	-0.02	-0.61	0.96
blech	obj58	0.1	1.24	-0.31
blech	obj59	1.58	-0.2	-0.71
blech	obj60	0.48	1.65	-0.19
blech	obj61	1.45	1.24	1.23
blech	obj62	-0.98	2	1.27
blech	obj63	0.54	-0.6	-0.83
blech	obj64	1.35	0.67	1.39
blech	obj65	1.23	1.46	-0.75
blech	obj66	-0.94	0.31	-0.75
blech	obj67	0.38	1.35	0.59
blech	obj68	-0.01	0.01	-0.97
blech	obj69	-0.98	-0.42	1.28
blech	obj70	-0.26	0.53	0.48
blech	obj71	0.67	0.07	0.43
blech	obj72	-0.28	-0.19	-0.25
blech	obj73	1.13	0.44	0.44
blech	obj74	0.46	1.34	-0.78
blech	obj75	1.31	-0.28	1.64
blech	obj76	0.93	-0.84	1.04
blech	obj77	0.81	-0.31	-0.18
blech	obj78	0.71	-0.77	0.27
blech	obj79	-0.34	-0.35	0.08
blech	obj80	1.57	1.69	0
blech	obj81	-0.54	-0.07	1.95
blech	obj82	-0.04	-0.82	1.19
blech	obj83	0.52	-0.3	-0.48
